ranking,sport,Boulders
421,10 560,9 570
422,10 557,9 562
423,10 556,9 558
424,10 555,9 557
425,10 555,9 553
426,10 554,9 553
427,10 553,9 550
428,10 553,9 550
429,10 552,9 550
430,10 550,9 550
431,10 550,9 550
432,10 548,9 550
433,10 546,9 550
434,10 546,9 550
435,10 545,9 550
436,10 544,9 550
437,10 544,9 550
438,10 543,9 550
439,10 539,9 550
440,10 538,9 550
441,10 538,9 550
442,10 537,9 540
443,10 535,9 535
444,10 535,9 533
445,10 533,9 526
446,10 530,9 526
447,10 529,9 523
448,10 527,9 508
449,10 525,9 506
450,10 524,9 506
451,10 523,9 506
452,10 518,9 503
453,10 517,9 503
454,10 515,9 503
455,10 515,9 503
456,10 512,9 502
457,10 508,9 500
458,10 508,9 500
459,10 507,9 500
460,10 507,9 500
461,10 505,9 500
462,10 504,9 500
463,10 500,9 500
464,10 499,9 500
465,10 498,9 500
466,10 496,9 496
467,10 495,9 490
468,10 495,9 473
469,10 495,9 470
470,10 493,9 460
471,10 492,9 460
472,10 490,9 459
473,10 489,9 459
474,10 488,9 458
475,10 485,9 457
476,10 472,9 456
477,10 466,9 455
478,10 465,9 455
479,10 464,9 453
480,10 457,9 453
481,10 457,9 453
482,10 454,9 453
483,10 454,9 450
484,10 452,9 450
485,10 452,9 450
486,10 452,9 450
487,10 452,9 450
488,10 450,9 450
489,10 450,9 440
490,10 450,9 428
491,10 449,9 423
492,10 447,9 420
493,10 447,9 410
494,10 445,9 409
495,10 442,9 409
496,10 442,9 407
497,10 440,9 406
498,10 440,9 406
499,10 440,9 406
500,10 438,9 405
501,10 437,9 404
502,10 437,9 403
503,10 436,9 402
504,10 434,9 402
505,10 433,9 400
506,10 432,9 400
507,10 432,9 400
508,10 431,9 400
509,10 428,9 400
510,10 421,9 400
511,10 420,9 400
512,10 419,9 400
513,10 417,9 400
514,10 411,9 400
515,10 406,9 400
516,10 404,9 400
517,10 404,9 400
518,10 403,9 400
519,10 400,9 395
520,10 400,9 395
521,10 400,9 376
522,10 400,9 370
523,10 400,9 370
524,10 400,9 365
525,10 400,9 363
526,10 397,9 363
527,10 397,9 362
528,10 397,9 360
529,10 395,9 359
530,10 389,9 359
531,10 387,9 356
532,10 386,9 356
533,10 386,9 355
534,10 385,9 355
535,10 385,9 355
536,10 385,9 353
537,10 385,9 353
538,10 384,9 353
539,10 382,9 353
540,10 382,9 353
541,10 380,9 352
542,10 374,9 352
543,10 358,9 352
544,10 358,9 350
545,10 356,9 350
546,10 353,9 350
547,10 353,9 350
548,10 352,9 350
549,10 352,9 350
550,10 350,9 350
551,10 350,9 343
552,10 350,9 323
553,10 350,9 323
554,10 350,9 323
555,10 350,9 320
556,10 349,9 320
557,10 348,9 316
558,10 348,9 315
559,10 348,9 312
560,10 347,9 310
561,10 347,9 308
562,10 347,9 306
563,10 345,9 306
564,10 345,9 306
565,10 345,9 306
566,10 345,9 304
567,10 343,9 303
568,10 342,9 303
569,10 342,9 303
570,10 339,9 303
571,10 339,9 303
572,10 337,9 302
573,10 335,9 302
574,10 333,9 300
575,10 332,9 300
576,10 332,9 300
